file,folder,pages,type,avg_chars,skip,skip_reason,notes,path
Advanced Players Guide.pdf,core,274,text,2078,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Advanced Players Guide.pdf
Bestiary 2.pdf,core,322,text,2564,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Bestiary 2.pdf
Bestiary 3.pdf,core,322,text,2755,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Bestiary 3.pdf
Bestiary.pdf,core,362,text,2765,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Bestiary.pdf
Book of the Dead.pdf,core,226,text,3025,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Book of the Dead.pdf
Dark Archive.pdf,core,226,text,4181,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Dark Archive.pdf
Gamemastery Guide.pdf,core,258,text,3354,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Gamemastery Guide.pdf
Howl of the Wild.pdf,core,226,text,2604,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Howl of the Wild.pdf
Pathfinder 2e - GM Core Remaster.pdf,core,338,text,3784,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Pathfinder 2e - GM Core Remaster.pdf
Pathfinder 2e - Guns & Gears Remastered.pdf,core,242,text,3188,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Pathfinder 2e - Guns & Gears Remastered.pdf
Pathfinder 2e - Monster Core.pdf,core,378,text,2800,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Pathfinder 2e - Monster Core.pdf
Pathfinder 2e - NPC Core 1.pdf,core,242,text,3291,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Pathfinder 2e - NPC Core 1.pdf
Pathfinder 2e - Player Core 2.pdf,core,322,text,2806,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Pathfinder 2e - Player Core 2.pdf
Pathfinder 2e - Player Core Remaster.pdf,core,466,text,2925,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Pathfinder 2e - Player Core Remaster.pdf
Pathfinder 2e - War of Immortals.pdf,core,226,text,3980,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Pathfinder 2e - War of Immortals.pdf
Rage of Elements.pdf,core,242,text,3219,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Rage of Elements.pdf
Secrets of Magic.pdf,core,258,text,2504,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Secrets of Magic.pdf
Treasure Vault (Remastered).pdf,core,227,text,3540,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Treasure Vault (Remastered).pdf
Guns & Gears.PDF,core,242,text,3091,False,,,/home/foutchi/projects/pf2e-baudot/books/core/Guns & Gears.PDF
Lost Omens #01 - World Guide.pdf,lost-omens,138,text,3491,False,,,/home/foutchi/projects/pf2e-baudot/books/lost-omens/Lost Omens #01 - World Guide.pdf
Lost Omens #02 - Character Guide.pdf,lost-omens,138,text,2593,False,,,/home/foutchi/projects/pf2e-baudot/books/lost-omens/Lost Omens #02 - Character Guide.pdf
Lost Omens #03 - Gods & Magic.pdf,lost-omens,138,text,3697,False,,,/home/foutchi/projects/pf2e-baudot/books/lost-omens/Lost Omens #03 - Gods & Magic.pdf
Lost Omens #05 - Pathfinder Society Guide.pdf,lost-omens,130,text,3262,False,,,/home/foutchi/projects/pf2e-baudot/books/lost-omens/Lost Omens #05 - Pathfinder Society Guide.pdf
Lost Omens #06 - Ancestry Guide.pdf,lost-omens,146,text,2664,False,,,/home/foutchi/projects/pf2e-baudot/books/lost-omens/Lost Omens #06 - Ancestry Guide.pdf
Lost Omens #07 - The Mwangi Expanse.pdf,lost-omens,314,text,2716,False,,,/home/foutchi/projects/pf2e-baudot/books/lost-omens/Lost Omens #07 - The Mwangi Expanse.pdf
"Lost Omens #09 - Absalom, City of Lost Omens.pdf",lost-omens,402,text,3607,False,,,"/home/foutchi/projects/pf2e-baudot/books/lost-omens/Lost Omens #09 - Absalom, City of Lost Omens.pdf"
Lost Omens #10 - Monsters Of Myth.pdf,lost-omens,130,text,2912,False,,,/home/foutchi/projects/pf2e-baudot/books/lost-omens/Lost Omens #10 - Monsters Of Myth.pdf
Lost Omens #11 - Knights of Lastwall.pdf,lost-omens,130,text,3232,False,,,/home/foutchi/projects/pf2e-baudot/books/lost-omens/Lost Omens #11 - Knights of Lastwall.pdf
Lost Omens #12 - Travel Guide.pdf,lost-omens,130,text,1699,False,,,/home/foutchi/projects/pf2e-baudot/books/lost-omens/Lost Omens #12 - Travel Guide.pdf
Lost Omens #13 - Impossible Lands.pdf,lost-omens,346,text,3425,False,,,/home/foutchi/projects/pf2e-baudot/books/lost-omens/Lost Omens #13 - Impossible Lands.pdf
Lost Omens #14 - Firebrands.pdf,lost-omens,130,text,3021,False,,,/home/foutchi/projects/pf2e-baudot/books/lost-omens/Lost Omens #14 - Firebrands.pdf
Lost Omens #15 - Highhelm.pdf,lost-omens,138,text,4031,False,,,/home/foutchi/projects/pf2e-baudot/books/lost-omens/Lost Omens #15 - Highhelm.pdf
Lost Omens #16 - Tian Xia World Guide.pdf,lost-omens,306,text,2625,False,,,/home/foutchi/projects/pf2e-baudot/books/lost-omens/Lost Omens #16 - Tian Xia World Guide.pdf
Lost Omens #17 - Tian Xia Character Guide.pdf,lost-omens,138,text,3260,False,,,/home/foutchi/projects/pf2e-baudot/books/lost-omens/Lost Omens #17 - Tian Xia Character Guide.pdf
Lost Omens #18 - Divine Mysteries.pdf,lost-omens,330,text,3372,False,,,/home/foutchi/projects/pf2e-baudot/books/lost-omens/Lost Omens #18 - Divine Mysteries.pdf
Lost Omens #19 - Rival Academies.pdf,lost-omens,130,text,3113,False,,,/home/foutchi/projects/pf2e-baudot/books/lost-omens/Lost Omens #19 - Rival Academies.pdf
Lost Omens #08 - The Grand Bazaar.PDF,lost-omens,138,text,3741,False,,,/home/foutchi/projects/pf2e-baudot/books/lost-omens/Lost Omens #08 - The Grand Bazaar.PDF
